drug_row_idx,drug_col_idx,cell_line_idx,ri_row,ri_col,synergy_loewe,syn_fold,sen_fold_1,sen_fold_2
0,1,4,19.098,-1.661,-5.089852856,2,0,0
0,2,4,19.098,18.683,2.924820756,1,0,0
0,3,4,19.098,45.828,9.660318047,1,0,0
0,4,4,19.098,33.855,-8.35611103,2,0,0
0,7,4,19.098,12.435,3.842383406,1,0,1
0,9,4,19.098,33.675,0.312106832,0,0,1
0,11,4,19.098,15.771,10.54345636,3,0,1
0,35,4,19.098,37.06,2.620901233,4,0,4
0,116,4,19.098,21.037,5.159884964,1,0,4
0,14,4,19.098,50.843,7.238193014,1,0,1
0,15,4,19.098,59.494,-2.225501932,2,0,2
0,17,4,19.098,6.009,-6.781376309,3,0,2
0,18,4,19.098,13.56,-0.31414384,2,0,2
0,19,4,19.098,25.4,20.51728696,0,0,2
0,20,4,19.097,36.079,5.360253784,4,0,2
0,25,4,19.098,-0.297,-3.034894245,0,0,3
0,28,4,19.098,27.146,-9.022149207,2,0,3
0,29,4,19.098,1.693,-3.19593666,3,0,3
0,30,4,19.098,-7.263,-39.7171613,0,0,3
0,34,4,19.098,19.56,0.248694128,2,0,4
1,3,4,-1.661,45.828,24.83456937,3,0,0
1,9,4,-1.661,33.675,10.96764939,4,0,1
1,35,4,-1.661,37.06,11.40482825,3,0,4
1,19,4,-1.661,25.4,30.33180491,1,0,2
1,20,4,-1.661,36.079,-2.959691844,4,0,2
1,117,4,-1.661,40.374,0.245038689,4,0,4
1,27,4,-1.661,13.484,30.14977964,0,0,3
1,28,4,-1.661,27.146,9.930042721,1,0,3
1,31,4,-1.661,53.436,-16.2045174,1,0,4
2,1,4,18.684,-1.661,-9.002299148,2,0,0
2,3,4,18.684,45.828,6.248163325,4,0,0
2,4,4,18.684,33.855,-10.78914679,2,0,0
2,7,4,18.684,12.435,15.89847016,3,0,1
2,9,4,18.684,33.675,-8.228113367,0,0,1
2,11,4,18.684,15.771,2.403662827,3,0,1
2,35,4,18.684,37.06,5.49202455,1,0,4
2,14,4,18.684,50.843,22.88571593,3,0,1
2,15,4,18.684,59.494,1.884072872,4,0,2
2,17,4,18.684,6.009,8.683984692,1,0,2
2,18,4,18.684,13.56,-0.166174862,0,0,2
2,19,4,18.684,25.4,31.41552695,4,0,2
2,20,4,18.684,36.079,42.03556396,3,0,2
2,117,4,18.684,40.374,-6.54300596,1,0,4
2,25,4,18.684,-0.297,1.548968727,4,0,3
2,27,4,18.684,13.484,3.309058081,0,0,3
2,28,4,18.684,27.146,-2.638177166,1,0,3
2,31,4,18.684,53.436,-5.552569116,3,0,4
3,9,4,45.828,33.675,13.56788519,0,0,1
3,20,4,45.828,36.079,16.43723821,2,0,2
3,117,4,45.828,40.374,2.19301485,3,0,4
3,27,4,45.828,13.484,18.10491209,4,0,3
3,28,4,45.828,27.146,-3.291998438,1,0,3
4,1,4,33.855,-1.661,6.681245432,2,0,0
4,3,4,33.855,45.828,2.675415138,2,0,0
4,7,4,33.855,12.435,20.73739241,2,0,1
4,9,4,33.855,33.675,-17.77242153,1,0,1
4,35,4,33.855,37.06,-15.58675869,4,0,4
4,19,4,33.855,25.4,19.19130545,1,0,2
4,20,4,33.855,36.079,-4.1475822,3,0,2
4,117,4,33.855,40.374,-10.91323151,2,0,4
4,27,4,33.855,13.484,-1.816098959,2,0,3
4,28,4,33.855,27.146,-11.9380773,1,0,3
4,31,4,33.855,53.436,-23.44329872,3,0,4
5,1,4,16.54,-1.661,16.03746973,1,0,0
5,2,4,16.54,18.683,4.580169331,0,0,0
5,3,4,16.54,45.828,8.767379766,2,0,0
5,4,4,16.54,33.855,-15.8477608,1,0,0
5,7,4,16.54,12.435,26.30049775,0,0,1
5,9,4,16.54,33.675,-15.91833179,1,0,1
5,11,4,16.54,15.771,-9.571818622,0,0,1
5,35,4,16.54,37.06,-14.69971241,1,0,4
5,116,4,16.54,21.037,-13.5446877,3,0,4
5,14,4,16.54,50.843,3.466015651,4,0,1
5,15,4,16.54,59.494,-37.69588947,4,0,2
5,17,4,16.54,6.009,1.815525529,2,0,2
5,18,4,16.54,13.56,-11.56481591,4,0,2
5,19,4,16.54,25.4,41.00109484,1,0,2
5,20,4,16.54,36.079,33.14624389,3,0,2
5,25,4,16.54,-0.297,9.597897493,3,0,3
5,28,4,16.54,27.146,-32.08518594,1,0,3
5,29,4,16.54,1.693,-4.372566576,2,0,3
5,30,4,16.54,-7.263,-30.62935068,4,0,3
5,34,4,16.54,19.56,-4.784087207,4,0,4
6,1,4,-1.088,-1.661,8.639489261,0,0,0
6,2,4,-1.088,18.683,-1.634016434,0,0,0
6,3,4,-1.088,45.828,24.02757327,1,0,0
6,4,4,-1.088,33.855,8.956388855,0,0,0
6,7,4,-1.088,12.435,18.10536632,1,0,1
6,9,4,-1.088,33.675,12.30045292,1,0,1
6,11,4,-1.088,15.771,2.282047711,0,0,1
6,35,4,-1.088,37.06,1.738538027,0,0,4
6,116,4,-1.088,21.037,7.603898429,3,0,4
6,14,4,-1.088,50.843,-4.696790911,4,0,1
6,15,4,-1.088,59.494,3.535748733,4,0,2
